Heart Rate,Time,Student,Temperature
79.78,09:00:45,S3,19.61
96.42,09:00:45,S4,19.57
110.8,09:00:45,S5,19.83
78.78,09:00:45,S6,19.81
105.75,09:00:45,S7,19.61
85.37,09:00:45,S8,19.33
89.05,09:00:45,S9,19.43
78.98,09:00:46,S1,20.12
79.93,09:00:46,S10,20.09
104.22,09:00:46,S2,20.17
79.5,09:00:46,S3,19.61
96.48,09:00:46,S4,19.61
110.83,09:00:46,S5,19.83
78.45,09:00:46,S6,19.81
105.87,09:00:46,S7,19.61
85.17,09:00:46,S8,19.33
88.5,09:00:46,S9,19.45
79.42,09:00:47,S1,20.15
79.75,09:00:47,S10,20.07
104.28,09:00:47,S2,20.17
79.23,09:00:47,S3,19.61
96.35,09:00:47,S4,19.61
110.85,09:00:47,S5,19.81
78.12,09:00:47,S6,19.81
105.95,09:00:47,S7,19.61
84.93,09:00:47,S8,19.33
88.0,09:00:47,S9,19.45
79.75,09:00:48,S1,20.15
79.68,09:00:48,S10,20.07
104.35,09:00:48,S2,20.17
78.97,09:00:48,S3,19.62
96.2,09:00:48,S4,19.61
110.85,09:00:48,S5,19.81
77.83,09:00:48,S6,19.81
105.93,09:00:48,S7,19.79
85.07,09:00:48,S8,19.33
87.48,09:00:48,S9,19.45
80.08,09:00:49,S1,20.15
79.72,09:00:49,S10,20.07
104.4,09:00:49,S2,20.15
78.73,09:00:49,S3,19.62
96.03,09:00:49,S4,19.59
110.82,09:00:49,S5,19.81
77.57,09:00:49,S6,19.83
105.92,09:00:49,S7,19.79
85.15,09:00:49,S8,19.33
87.27,09:00:49,S9,19.46
80.43,09:00:50,S1,20.12
79.6,09:00:50,S10,20.11
104.48,09:00:50,S2,20.15
78.55,09:00:50,S3,19.62
95.9,09:00:50,S4,19.59
110.78,09:00:50,S5,19.81
77.32,09:00:50,S6,19.83
105.85,09:00:50,S7,19.79
85.28,09:00:50,S8,19.35
87.05,09:00:50,S9,19.46
80.78,09:00:51,S1,20.12
79.48,09:00:51,S10,20.11
104.58,09:00:51,S2,20.15
78.48,09:00:51,S3,19.7
95.73,09:00:51,S4,19.59
110.7,09:00:51,S5,19.81
76.93,09:00:51,S6,19.83
105.72,09:00:51,S7,19.51
85.63,09:00:51,S8,19.35
86.87,09:00:51,S9,19.46
81.48,09:00:52,S1,20.12
79.43,09:00:52,S10,20.11
104.67,09:00:52,S2,20.17
78.43,09:00:52,S3,19.7
95.53,09:00:52,S4,19.57
110.62,09:00:52,S5,19.81
76.58,09:00:52,S6,19.81
105.57,09:00:52,S7,19.51
