Heart Rate,Time,Student,Temperature
124.9,13:58:13,S2,34.33
87.38,13:58:13,S3,32.25
81.18,13:58:13,S4,31.95
83.3,13:58:13,S5,33.97
74.73,13:58:13,S6,32.68
83.87,13:58:13,S7,27.77
82.85,13:58:13,S8,33.91
116.73,13:58:13,S9,33.91
83.03,13:58:14,S1,31.07
96.03,13:58:14,S10,30.03
125.13,13:58:14,S2,34.33
87.3,13:58:14,S3,32.23
81.55,13:58:14,S4,31.95
82.78,13:58:14,S5,33.95
74.58,13:58:14,S6,32.68
83.65,13:58:14,S7,27.77
82.62,13:58:14,S8,33.91
117.15,13:58:14,S9,33.91
83.18,13:58:15,S1,31.07
96.0,13:58:15,S10,30.03
125.32,13:58:15,S2,34.34
87.2,13:58:15,S3,32.23
81.87,13:58:15,S4,31.95
82.3,13:58:15,S5,33.95
74.43,13:58:15,S6,32.68
83.45,13:58:15,S7,27.77
82.37,13:58:15,S8,33.91
117.53,13:58:15,S9,33.93
83.32,13:58:16,S1,31.07
96.03,13:58:16,S10,30.03
125.43,13:58:16,S2,34.34
87.1,13:58:16,S3,32.23
82.17,13:58:16,S4,31.95
81.83,13:58:16,S5,33.95
74.35,13:58:16,S6,32.68
83.27,13:58:16,S7,27.79
82.15,13:58:16,S8,33.91
117.92,13:58:16,S9,33.93
83.45,13:58:17,S1,31.07
96.1,13:58:17,S10,30.05
125.53,13:58:17,S2,34.34
86.87,13:58:17,S3,32.25
82.48,13:58:17,S4,31.95
81.63,13:58:17,S5,33.95
74.22,13:58:17,S6,32.68
83.18,13:58:17,S7,27.79
81.92,13:58:17,S8,33.91
118.3,13:58:17,S9,33.93
83.57,13:58:18,S1,31.07
96.25,13:58:18,S10,30.05
125.63,13:58:18,S2,34.34
86.6,13:58:18,S3,32.25
82.73,13:58:18,S4,31.95
81.55,13:58:18,S5,33.95
74.1,13:58:18,S6,32.71
83.12,13:58:18,S7,27.79
81.67,13:58:18,S8,33.91
118.7,13:58:18,S9,33.95
83.63,13:58:19,S1,31.07
96.52,13:58:19,S10,30.05
125.55,13:58:19,S2,34.34
86.27,13:58:19,S3,32.25
82.97,13:58:19,S4,31.95
81.47,13:58:19,S5,33.95
74.02,13:58:19,S6,32.71
83.08,13:58:19,S7,27.77
81.25,13:58:19,S8,33.84
119.08,13:58:19,S9,33.95
83.73,13:58:20,S1,31.07
96.75,13:58:20,S10,30.03
125.42,13:58:20,S2,34.34
85.93,13:58:20,S3,32.23
83.22,13:58:20,S4,31.95
81.37,13:58:20,S5,33.97
73.93,13:58:20,S6,32.71
83.07,13:58:20,S7,27.77
80.93,13:58:20,S8,33.84
119.52,13:58:20,S9,33.95
83.83,13:58:21,S1,31.07
96.87,13:58:21,S10,30.03
125.25,13:58:21,S2,34.34
85.63,13:58:21,S3,32.23
83.45,13:58:21,S4,31.95
81.2,13:58:21,S5,33.97
73.88,13:58:21,S6,32.66
83.0,13:58:21,S7,27.77
80.63,13:58:21,S8,33.84
119.93,13:58:21,S9,33.93
83.93,13:58:22,S1,31.07
96.95,13:58:22,S10,30.03
124.78,13:58:22,S2,34.34
85.35,13:58:22,S3,32.23
83.82,13:58:22,S4,31.95
81.07,13:58:22,S5,33.97
73.83,13:58:22,S6,32.66
82.9,13:58:22,S7,27.79
80.33,13:58:22,S8,33.84
120.35,13:58:22,S9,33.93
84.03,13:58:23,S1,31.03
96.95,13:58:23,S10,30.05
124.28,13:58:23,S2,34.34
85.08,13:58:23,S3,32.25
84.22,13:58:23,S4,31.95
80.98,13:58:23,S5,33.95
73.82,13:58:23,S6,32.66
82.78,13:58:23,S7,27.79
80.07,13:58:23,S8,33.84
120.8,13:58:23,S9,33.93
84.18,13:58:24,S1,31.03
97.02,13:58:24,S10,30.05
123.78,13:58:24,S2,34.37
84.7,13:58:24,S3,32.25
84.62,13:58:24,S4,31.95
81.08,13:58:24,S5,33.95
73.83,13:58:24,S6,32.71
82.63,13:58:24,S7,27.79
79.78,13:58:24,S8,33.84
121.22,13:58:24,S9,33.93
84.38,13:58:25,S1,31.03
97.08,13:58:25,S10,30.05
123.28,13:58:25,S2,34.37
84.28,13:58:25,S3,32.25
84.97,13:58:25,S4,31.95
81.13,13:58:25,S5,33.95
73.85,13:58:25,S6,32.71
82.48,13:58:25,S7,27.79
79.47,13:58:25,S8,33.83
121.63,13:58:25,S9,33.93
84.57,13:58:26,S1,31.03
97.13,13:58:26,S10,30.03
122.8,13:58:26,S2,34.37
83.93,13:58:26,S3,32.21
85.33,13:58:26,S4,31.95
81.32,13:58:26,S5,33.95
73.95,13:58:26,S6,32.71
82.33,13:58:26,S7,27.79
79.28,13:58:26,S8,33.83
122.03,13:58:26,S9,33.93
84.73,13:58:27,S1,31.03
97.07,13:58:27,S10,30.03
122.3,13:58:27,S2,34.34
83.7,13:58:27,S3,32.21
85.65,13:58:27,S4,31.95
81.52,13:58:27,S5,33.95
74.15,13:58:27,S6,32.66
82.15,13:58:27,S7,27.79
79.18,13:58:27,S8,33.83
122.4,13:58:27,S9,33.95
84.9,13:58:28,S1,31.03
97.0,13:58:28,S10,30.03
121.83,13:58:28,S2,34.34
83.75,13:58:28,S3,32.21
85.97,13:58:28,S4,31.97
81.7,13:58:28,S5,33.95
74.22,13:58:28,S6,32.66
82.0,13:58:28,S7,27.77
79.18,13:58:28,S8,33.83
122.73,13:58:28,S9,33.95
85.07,13:58:29,S1,31.05
96.9,13:58:29,S10,30.03
121.42,13:58:29,S2,34.34
83.92,13:58:29,S3,32.18
86.2,13:58:29,S4,31.97
81.9,13:58:29,S5,33.97
74.33,13:58:29,S6,32.66
81.88,13:58:29,S7,27.77
79.13,13:58:29,S8,33.83
123.07,13:58:29,S9,33.95
85.25,13:58:30,S1,31.05
96.82,13:58:30,S10,30.03
121.03,13:58:30,S2,34.33
84.05,13:58:30,S3,32.18
86.45,13:58:30,S4,31.97
82.05,13:58:30,S5,33.97
74.52,13:58:30,S6,32.68
81.6,13:58:30,S7,27.77
79.13,13:58:30,S8,33.83
123.25,13:58:30,S9,33.95
85.43,13:58:31,S1,31.05
96.72,13:58:31,S10,30.03
120.67,13:58:31,S2,34.33
84.15,13:58:31,S3,32.18
86.7,13:58:31,S4,31.95
82.28,13:58:31,S5,33.97
75.03,13:58:31,S6,32.68
81.3,13:58:31,S7,27.77
79.15,13:58:31,S8,33.83
123.42,13:58:31,S9,33.95
85.58,13:58:32,S1,31.05
96.32,13:58:32,S10,30.03
120.28,13:58:32,S2,34.33
84.22,13:58:32,S3,32.21
86.9,13:58:32,S4,31.95
82.47,13:58:32,S5,33.95
75.52,13:58:32,S6,32.68
81.12,13:58:32,S7,27.77
79.32,13:58:32,S8,33.83
123.65,13:58:32,S9,33.95
85.68,13:58:33,S1,31.05
95.77,13:58:33,S10,30.03
119.93,13:58:33,S2,34.37
84.27,13:58:33,S3,32.21
87.15,13:58:33,S4,31.95
82.63,13:58:33,S5,33.95
75.97,13:58:33,S6,32.68
80.93,13:58:33,S7,27.77
79.45,13:58:33,S8,33.83
123.88,13:58:33,S9,33.93
85.72,13:58:34,S1,31.05
95.22,13:58:34,S10,30.03
119.6,13:58:34,S2,34.37
84.3,13:58:34,S3,32.21
87.43,13:58:34,S4,31.97
82.87,13:58:34,S5,33.95
76.55,13:58:34,S6,32.68
